origin_value,company name,traded price,book value,price book ratio,PE ratio,Current ratio,Profit Margin,Return on Assets,Return on Equity,5 year average yield,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,52-Week High,52-Week Low,beta,exchange,sector,industry,total_equity_5,total_equity_4,total_equity_3,total_equity_2,total_equity_1,total_liability_5,total_liability_4,total_liability_3,total_liability_2,total_liability_1,total_asset_5,total_asset_4,total_asset_3,total_asset_2,total_asset_1,balance sheet page,industry page,statistics page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
O9D.SI,DBXT MSPAKIS US$ (O9D.SI),2.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=O9D.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
IH2.SI,DBXT MSKorea US$ (IH2.SI),62.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=IH2.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
LF2.SI,DBXT MSJAP US$ (LF2.SI),52.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=LF2.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
IH3.SI,DBXT MSEurope US$ (IH3.SI),61.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=IH3.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
LG8.SI,DBXT MSINDIA US$ (LG8.SI),10.19,0.00,N/A,N/A,N/A,,,,,,,11.60,8.93,,SES,N/A,N/A,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q/pr?s=LG8.SI,https://sg.finance.yahoo.com/q/ks?s=LG8.SI,https://sg.finance.yahoo.com/q?s=LG8.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
586.SI,TMC Education Corp Ltd (586.SI),0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=586.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5OT.SI,Singapore Medical Group Ltd (5OT.SI),0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5OT.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
M1GU.SI,Sabana Reit (M1GU.SI),0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=M1GU.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
O15.SI,Oversea-Chinese Banking Corp Ltd (O15.SI),1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=O15.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
PT9D.SI,u NZT ADR US$ (PT9D.SI),0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=PT9D.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
